dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
iid_test,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.02274222631718993,0.0009251408029383473,0.28886255206821465,0.1383182575414021,0.2636297327107517
ood_sncs_c10,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.3350841045323594,0.1612488628176102,0.5754371945441881,0.4065867496612539,0.5166948949659442
ood_nsncs_svhn,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.5420217533776728,0.32998679200069814,0.6888247211410079,0.5800802859064825,0.6531070132099803
ood_nsncs_ti,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.326858746643114,0.1463709909174532,0.5817219311716838,0.3983613917720085,0.5093439665327468
ood_nsncs_lsun_cropped,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.40717259912103143,0.20409585897123864,0.5850309408725967,0.47854072162499567,0.6093084669337486
ood_nsncs_lsun_resize,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.3755454954941468,0.17793469619174573,0.5602501656143917,0.4470481406230412,0.56950456990196
ood_nsncs_isun,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.3453930877109451,0.15445330776743932,0.536834144761389,0.4213727170695389,0.5468763777655027
ood_nsncs_textures,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.19374392006124527,0.07476586986484143,0.5153802927473923,0.2570399645851703,0.3539556936389058
ood_nsncs_places365,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.2981180415896016,0.13443769015362225,0.5795447560527157,0.3696206867184963,0.47190562829023824
val,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.020546561080728876,0.0018859119779710079,0.6920243581679315,0.14485300921009225,0.268530286734397
iid_test,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.0091484745390914,0.0005318033038946292,0.19140190158966502,0.1415116686507839,0.26202795937238055
ood_sncs_c10,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.3458302832799896,0.17577599427793147,0.5827650661994068,0.4193331108764053,0.529576482586151
ood_nsncs_svhn,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.5563008211309902,0.35161527719421953,0.7042130129596187,0.5954239856367293,0.6688721587659691
ood_nsncs_ti,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.3457873470253801,0.1686692617387732,0.5819619201806383,0.41929017462179574,0.5309084097222136
ood_nsncs_lsun_cropped,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.4160029556549497,0.21972363351629817,0.6105067781038548,0.4895057832513654,0.6205336967636303
ood_nsncs_lsun_resize,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.3850171690424572,0.1926778265184691,0.5943523234854794,0.4585199966388728,0.5812863582384251
ood_nsncs_isun,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.35395312239548793,0.16732016046984605,0.5667393485555345,0.4320581714306758,0.5577216863005211
ood_nsncs_textures,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.25639799218015574,0.12994865545269574,0.6226052911341018,0.31712747515071005,0.43788495091471275
ood_nsncs_places365,PCA_RecError_global,Beta,modelvit,do1,rew0,2,0.33208641596721244,0.17200666221673028,0.6128012064347718,0.4055892435636281,0.5119293271879475
val,CTM,Sigmoid,modelvit,do1,rew0,3,0.022898688494843115,0.0029275296413717117,0.36444392910928514,0.11569983658132572,0.2404337832670296
iid_test,CTM,Sigmoid,modelvit,do1,rew0,3,0.009457588437321142,0.0011448438089569528,0.4160736924270589,0.12438537398511064,0.25363257478688395
ood_sncs_c10,CTM,Sigmoid,modelvit,do1,rew0,3,0.21195923915236847,0.07157689320983775,0.5009572323182254,0.2734774032996754,0.4021156655383588
ood_nsncs_svhn,CTM,Sigmoid,modelvit,do1,rew0,3,0.32800229919249735,0.1389275203449567,0.6230946141997824,0.3607026978065638,0.4593368221043884
ood_nsncs_ti,CTM,Sigmoid,modelvit,do1,rew0,3,0.2485811647449125,0.08500345594012697,0.507680522569369,0.3100993288922194,0.4450499404176195
ood_nsncs_lsun_cropped,CTM,Sigmoid,modelvit,do1,rew0,3,0.24687373008702118,0.0928702050629784,0.5343209439357521,0.30839189423432806,0.429544883561083
ood_nsncs_lsun_resize,CTM,Sigmoid,modelvit,do1,rew0,3,0.2737930979145444,0.10207811692886795,0.5480248102744354,0.3353112620618514,0.4676150274340946
ood_nsncs_isun,CTM,Sigmoid,modelvit,do1,rew0,3,0.25506504731473045,0.08768532362108501,0.5181016184659868,0.3204467404950663,0.45732303495402427
ood_nsncs_textures,CTM,Sigmoid,modelvit,do1,rew0,3,0.08121725173833777,0.01566216590363824,0.3365489680578939,0.15264563346402868,0.25116854489118867
ood_nsncs_places365,CTM,Sigmoid,modelvit,do1,rew0,3,0.23321806962269814,0.08064492182698635,0.5245732293330974,0.294736233770005,0.4257781458470344
val,CTM,Isotonic,modelvit,do1,rew0,3,0.02749211278743063,0.004582435934013673,0.3194874746894238,0.11477310041685818,0.24476847299280155
iid_test,CTM,Isotonic,modelvit,do1,rew0,3,0.013967760416109443,0.001633176305985078,0.409459547019572,0.122963300899315,0.2547035090774706
ood_sncs_c10,CTM,Isotonic,modelvit,do1,rew0,3,0.19771411857313825,0.06603960357382406,0.645827705479321,0.25920474870977905,0.3966335344256022
ood_nsncs_svhn,CTM,Isotonic,modelvit,do1,rew0,3,0.3146266962265415,0.13233224939603197,0.7034325976003015,0.34731245894994517,0.453635164490628
ood_nsncs_ti,CTM,Isotonic,modelvit,do1,rew0,3,0.23685338509374462,0.07920670086257796,0.6582127136984899,0.2983440152303854,0.4397745066016166
ood_nsncs_lsun_cropped,CTM,Isotonic,modelvit,do1,rew0,3,0.2371127645138274,0.08604916932682027,0.6791837250031598,0.29856145590012867,0.42322976547269275
ood_nsncs_lsun_resize,CTM,Isotonic,modelvit,do1,rew0,3,0.264521002043216,0.09475900655759423,0.6711543560028228,0.32592602481312755,0.46193528706123343
ood_nsncs_isun,CTM,Isotonic,modelvit,do1,rew0,3,0.2460297834011439,0.08177129345903449,0.6719916898853093,0.3113635194762818,0.45254700701350087
ood_nsncs_textures,CTM,Isotonic,modelvit,do1,rew0,3,0.060309538585158765,0.01342631433210002,0.47081141475668076,0.13681192196459008,0.24869903046258662
ood_nsncs_places365,CTM,Isotonic,modelvit,do1,rew0,3,0.22096193051754248,0.07470556840002543,0.6641433689602962,0.28245256065418317,0.42050628099925375
val,CTM,Beta,modelvit,do1,rew0,3,0.02779931356876616,0.003502444059679348,0.6741456812862181,0.1182516127626355,0.24169349963032205
iid_test,CTM,Beta,modelvit,do1,rew0,3,0.015420336122388825,0.0014231069383986582,0.4049371038127925,0.1265108917688739,0.2543592007678061
